GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
81408,0.76,-0.05,9.40,0.03,-0.02,0.00,2
81478,0.75,-0.03,9.44,0.01,-0.03,-0.01,2
81508,0.82,-0.03,9.40,0.03,-0.03,-0.00,2
81525,0.82,-0.04,9.36,0.03,-0.03,0.00,2
81535,0.81,-0.04,9.38,0.03,-0.04,0.00,2
81544,0.79,-0.05,9.40,0.02,-0.04,0.00,2
81555,0.73,-0.03,9.52,0.01,-0.05,0.00,2
81764,0.84,-0.03,9.40,0.02,-0.03,-0.01,2
81773,0.85,-0.04,9.39,0.02,-0.02,-0.01,2
81783,0.83,-0.05,9.34,0.01,-0.01,-0.01,2
81791,0.81,-0.04,9.37,0.01,-0.01,-0.00,2
81800,0.81,-0.01,9.46,0.02,-0.01,-0.00,2
81809,0.75,-0.02,9.47,0.02,-0.02,0.00,2
81818,0.71,-0.05,9.52,0.02,-0.02,0.00,2
81826,0.71,-0.08,9.49,0.03,-0.02,0.01,2
81835,0.71,-0.10,9.43,0.03,-0.03,0.01,2
81845,0.71,-0.07,9.44,0.02,-0.03,0.00,2
81853,0.75,-0.06,9.45,0.02,-0.03,0.00,2
81863,0.81,-0.04,9.47,0.02,-0.03,-0.00,2
81871,0.85,-0.02,9.44,0.02,-0.03,-0.00,2
81880,0.85,-0.03,9.41,0.02,-0.03,-0.01,2
81890,0.86,-0.05,9.40,0.02,-0.03,-0.01,2
81899,0.88,-0.04,9.35,0.02,-0.03,-0.01,2
81909,0.90,-0.01,9.33,0.02,-0.02,-0.00,2
81918,0.89,-0.03,9.31,0.03,-0.02,0.00,2
81927,0.84,-0.04,9.38,0.02,-0.02,0.00,2
81936,0.78,-0.05,9.43,0.02,-0.01,0.00,2
81944,0.75,-0.03,9.44,0.02,-0.02,0.00,2
81953,0.72,-0.01,9.50,0.01,-0.02,0.00,2
81961,0.74,-0.02,9.51,0.01,-0.02,-0.00,2
81970,0.74,-0.02,9.50,0.02,-0.03,-0.00,2
81978,0.74,-0.02,9.52,0.02,-0.03,-0.00,2
81988,0.77,-0.01,9.48,0.03,-0.03,-0.00,2
81996,0.80,-0.01,9.40,0.03,-0.03,0.00,2
82005,0.87,-0.06,9.36,0.03,-0.03,0.00,2
82014,0.88,-0.06,9.35,0.03,-0.02,0.01,2
82023,0.84,-0.06,9.36,0.03,-0.01,0.01,2
82031,0.86,-0.02,9.38,0.03,-0.01,0.01,2
82040,0.85,-0.03,9.39,0.02,-0.00,0.00,2
82050,0.82,-0.04,9.43,0.02,-0.00,-0.00,2
82058,0.77,-0.05,9.52,0.02,-0.00,-0.00,2
82068,0.74,-0.01,9.55,0.03,-0.01,-0.00,2
82076,0.80,-0.04,9.48,0.04,-0.01,-0.00,2
82085,0.79,-0.06,9.41,0.04,-0.01,-0.00,2
82094,0.79,-0.09,9.32,0.03,-0.02,-0.00,2
82103,0.79,-0.11,9.34,0.02,-0.03,-0.00,2
82113,0.80,-0.06,9.41,0.00,-0.03,-0.00,2
82121,0.75,-0.02,9.52,-0.01,-0.03,-0.01,2
82130,0.74,-0.00,9.59,-0.01,-0.04,-0.01,2
82139,0.78,-0.01,9.53,-0.00,-0.05,-0.01,2
82149,0.84,-0.02,9.39,0.01,-0.05,-0.01,2
82158,0.86,-0.03,9.30,0.02,-0.03,-0.01,2
82168,0.88,-0.05,9.31,0.02,-0.01,-0.00,2
82176,0.82,-0.06,9.35,0.03,0.00,0.00,2
82185,0.79,-0.07,9.44,0.03,0.00,0.01,2
82194,0.77,-0.09,9.44,0.03,-0.01,0.01,2
82203,0.75,-0.06,9.45,0.02,-0.02,0.01,2
82213,0.76,-0.03,9.51,0.02,-0.04,0.00,2
82221,0.75,-0.00,9.55,0.01,-0.04,-0.00,2
82230,0.70,-0.01,9.59,0.01,-0.03,-0.00,2
82239,0.74,-0.02,9.56,0.01,-0.03,-0.00,2
82249,0.81,-0.06,9.45,0.02,-0.03,-0.01,2
82258,0.84,-0.06,9.33,0.01,-0.04,-0.01,2
82268,0.89,-0.05,9.31,0.01,-0.03,-0.01,2
82276,0.92,-0.05,9.34,0.01,-0.02,-0.01,2
82285,0.88,-0.06,9.33,0.01,-0.01,-0.00,2
82294,0.84,-0.06,9.35,0.02,-0.01,-0.00,2
82303,0.82,-0.05,9.39,0.02,-0.02,0.00,2
